date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:50	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f74c501-247b%22	https://neuroqa.com/robots.txt		(from )
22:06:50	58127/58127	---M-Z	200	added ('OK')	text/html	etag:W/%225eba2b62-e30f%22	https://neuroqa.com/	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/index.html	(from )
22:06:51	5754/5754	---M-Z	200	added ('OK')	text/javascript	etag:%222fc59a5de14dd1e6d6a2e63e5f29af6f%22	https://kit.fontawesome.com/53c4b80e1f.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/kit.fontawesome.com/53c4b80e1f.js	(from https://neuroqa.com/)
22:06:51	3702/3702	---MC-	200	added ('OK')	text/css	date:Mon,%2012%20Oct%202020%2003:06:52%20GMT	https://fonts.googleapis.com/css?family=Poppins:300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i&display=swap	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/fonts.googleapis.com/csse3f2.css	(from https://neuroqa.com/)
22:06:52	2557/2557	---MC-	200	added ('OK')	text/css	date:Mon,%2012%20Oct%202020%2003:06:53%20GMT	https://fonts.googleapis.com/css?family=Roboto:300,300i,400,400i,500,500i,700,700i,900,900i&display=swap	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/fonts.googleapis.com/css97ae.css	(from https://neuroqa.com/)
22:06:52	63102/63102	---M-Z	200	added ('OK')	text/css	etag:W/%225eba2b62-f67e%22	https://neuroqa.com/assets/css/font-awesome-all.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/assets/css/font-awesome-all.css	(from https://neuroqa.com/)
22:06:52	1842/1842	---M-Z	200	added ('OK')	text/css	etag:W/%225eba2b62-732%22	https://neuroqa.com/assets/css/flaticon.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/assets/css/flaticon.css	(from https://neuroqa.com/)
22:06:52	5434/5434	---M-Z	200	added ('OK')	text/css	etag:W/%225eba2b62-153a%22	https://neuroqa.com/assets/css/owl.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/assets/css/owl.css	(from https://neuroqa.com/)
22:06:53	197170/197170	---M-Z	200	added ('OK')	text/css	etag:W/%225eba2b62-30232%22	https://neuroqa.com/assets/css/bootstrap.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/assets/css/bootstrap.css	(from https://neuroqa.com/)
22:06:53	13735/13735	---M-Z	200	added ('OK')	text/css	etag:W/%225eba2b62-35a7%22	https://neuroqa.com/assets/css/jquery.fancybox.min.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/assets/css/jquery.fancybox.min.css	(from https://neuroqa.com/)
22:06:53	82108/82108	---M-Z	200	added ('OK')	text/css	etag:W/%225eba2b62-140bc%22	https://neuroqa.com/assets/css/animate.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/assets/css/animate.css	(from https://neuroqa.com/)
22:06:53	175/175	---M--	200	added ('OK')	text/css	etag:%225eba2b62-af%22	https://neuroqa.com/assets/css/imagebg.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/assets/css/imagebg.css	(from https://neuroqa.com/)
22:06:53	8503/8503	---M-Z	200	added ('OK')	text/css	etag:W/%225eba2b62-2137%22	https://neuroqa.com/assets/css/color/theme-color.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/assets/css/color/theme-color.css	(from https://neuroqa.com/)
22:06:54	2945/2945	---M-Z	200	added ('OK')	text/css	etag:W/%225eba2b62-b81%22	https://neuroqa.com/assets/css/switcher-style.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/assets/css/switcher-style.css	(from https://neuroqa.com/)
22:06:54	11569/11569	---M-Z	200	added ('OK')	text/css	etag:W/%225eba2b62-2d31%22	https://neuroqa.com/assets/css/rtl.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/neuroqa/neuroqa.com/assets/css/rtl.css	(from https://neuroqa.com/)
